articles,summaries
 اسلام آباد میں مارگلہ ہلز کے ٹریل تھری پر خاتون سے مبینہ زیادتی کا انکشاف ہوا تھا جس پر پولیس نے تکنیکی ذرائع بروئے کار لاتے ہوئے ملزم تک رسائی حاصل کی۔ پولیس کا کہنا ہے کہ خاتون کیس کی تفتیش میں پولیس کو معاونت فراہم نہیں کر رہی تھیں، تکنیکی بنیادوں پرملزم کی تلاش کے بعد رات گئے اسے گرفتارکرلیا۔ واقعہ کیسے پیش آیا؟ ایف آئی آر کے مطابق شیخوپورہ کی رہائشی خاتون کو نعمان نامی شخص نے نوکری کا جھانسہ دے کرراولپنڈی بلایا۔ ایف آئی آر میں میں کہا گیا ہے کہ نعمان انٹرویو کے بہانے ٹریل تھری لے گیا جہاں گن پوائنٹ پر ایک شخص نے زیادتی کانشانہ بنایا اور واقعے کا بتانے پر جان سے مارنے کی دھمکی دی۔ شیخوپورہ کی رہائشی خاتون کو نعمان نامی شخص نے نوکری کا جھانسہ دے کرراولپنڈی بلایا اور گن پوائنٹ پر زیادتی کانشانہ بنایا۔  دوسری جانب محکمہ وائلڈ لائف کا کہنا ہے کہ ٹریل تھری پر خاتون سے مبینہ زیادتی کے کیس کی تحقیقات مقامی پولیس کر رہی ہیں۔ حکام کا کہنا ہے کہ وائلڈ لائف مقامی پولیس کوتفتیش میں مکمل معاونت فراہم کرتا ہے۔, اسلام آباد میں ایک خاتون کے ساتھ زیادتی کا مقدمہ درج ہوا جس کی بنا پر ملزم کو گرفتار کیا گیا ۔  جبکہ طبی رپوڑت کے مطابق الزام ثابت نہيں ہوا۔  پولیس کا کہنا ہے کہ خاتون تفتیش میں کوئی مدد فراہم نہیں کررہی، تکنیکی ذرائع اور واءلڈ لائف کی مددسے ملزم تک رسائی حاصل کی ہے ۔
بھارتی میڈیا رپورٹس کے مطابق پولیس نے 28 سالہ محسن شیخ کو گرفتار کیا ہے جو گزشتہ ایک سال سے ممبئی کے شاپنگ مالز اور کمپنیوں کی پارکنگ میں کھڑی گاڑیوں کے قیمتی پارٹس چوری کرتا تھا اور اسے فروخت کردیتا تھا۔ پولیس نے محسن شیخ کے قبضے سے 68 انجن پارٹس اپنی تحویل میں لیے جن کی مالیت 2.8 لاکھ بھارتی روپے ہے۔ محسن شیخ کے مطابق وہ گاڑیوں کے پارٹس اس لیے چوری کرتا تھا تاکہ اپنی گرل فرینڈ کو عالیشان طرزِ زندگی دے سکے اور اس کے اخراجات پورے کرسکے۔ محسن ان پیسوں سے گرل فرینڈ کی شاپنگ کے بِل ادا کیا کرتا تھا۔ رپورٹس کے مطابق ایک رات جب وہ ایک کیب سے چوری کررہا تھا تو اسے ایک شخص نے دیکھ لیا جس کے بعد پولیس میں ایف آئی آر درج کروائی، اسی رات اس نے 98000 بھارتی روپے مالیت کے چار گاڑیوں کے پارٹس چوری کیے تھے۔  بعدازاں کارروائی کرتے ہوئے پولیس نے یکم جولائی کو محسن کو اس کی رہائش گاہ سے گرفتار کرلیا۔,"ممبئی پولیس نے اپنی گرل فرینڈ کے شاہانہ طرز زندگی کو برقرار رکھنے اور اس کے مطالبات کو پورا کرنے کے لیے گاڑیوں کے قیمتی پارٹس چوری کرکے اسے فروخت کرنے والے شخص کو  گرفتار کرلیا۔ ایک رات اسے 98000 بھارتی روپے مالیت کی چوری کے بعد گھر سے گرفتار کیا گیا۔   

"
اقبال مارکیٹ تھانے کی حدود اورنگی ٹاؤن رئیس امروہوی کالونی مقدس لان کے قریب ڈاکوؤں کی فائرنگ سے ایک شخص جاں بحق ہوا، جس کی لاش کو عباسی شہید اسپتال منتقل کیا گیا، جہاں اس کی شناخت 32 سالہ اسماعیل ولد حاجی محمد کے نام سے ہوئی۔ ایس ایچ او سلیم خان کے مطابق مقتول مذکورہ مقام پر ٹھیلے پر بیٹھا پلائو کھا رہا تھا کہ اس دوران دو ڈاکو پہنچ گئے اور انہوں نے شہریوں سے لُوٹ مار شروع کر دی،انہوں نے بتایا کہ مقتول نے ایک ڈاکو کا پستول قبضے میں لے لیا،اسی دوران دوسرے ڈاکو نے اس پر فائرنگ کر دی، جس کے نتیجے میں وہ جاں بحق ہو گیا، واقعہ کے بعد ملزمان فرار ہونے میں کام یاب ہو گئے,"اورنگی ٹاؤن میں ڈکیتی مزاحمت  پر نوجوان جاں بحق ہوگیا۔ واقعہ اقبال مارکیٹ تھانے کے قریب پیش آیا۔ نوجوان نے ایک ڈاکو کو غیر مسلح کرنے کی کوشش کی لیکن دوسرے نے اسے گولی مار دی۔  ملزمان موقع سے فرار ہو گئے۔
"
انڈیا کے شہر بنگلورو میں پولیس نے پیر کے روز ایک 19 سالہ پاکستانی خاتون کو گرفتار کرنے کا دعویٰ کیا ہے جو مبینہ طور پر اپنے بوائے فرینڈ سے شادی کرنے نیپال گئیں اور وہاں سے غیر قانونی طور پر انڈیا میں داخل ہوئی تھیں۔ پولیس نے مقامی میڈیا کو بتایا کہ خاتون کی شناخت اقرا جیوانی کے نام سے ہوئی ہے جھنوں نے اپنا نام بدل کر راوا یادو رکھ لیا ہے۔ ان کے شوہر 26 سالہ ملائم سنگھ یادو جن کا تعلق ریاست اتر پردیش سے ہے، کو بھی جیوانی کو پناہ دینے کے الزام میں گرفتار کیا گیا ہے۔ یہ گرفتاریاں ریاستی خفیہ ایجیینسیوں کو یہ اطلاع موصول ہونے کے بعد ہوئیں کہ ایک پاکستانی شہری درست دستاویزات کے بغیر انڈیا میں داخل ہوا ہے اور وہ بنگلورو میں مقیم ہے۔ ریاستی خفیہ ایجیینسیاں اس وقت حرکت میں آئیں جب مبینہ طور پر جیوانی پاکستان میں اپنے رشتے داروں سے رابطہ قائم کرنے کی کوشش کر رہی تھیں۔,"بھارت کے شہر بنگلور میں پولیس نے ایک 19 سالہ پاکستانی خاتون  کو نیپالی بوائے فرینڈ سے شادی کرنے کے بعد نیپال سے غیر قانونی طور پر بھارت میں داخل ہونے پر گرفتار کر لیا تھی۔  اور اس کے شوہرکو بھی اس کے داخلے میں مدد کرنے کے الزام میں گرفتار کیا گیا تھا۔ 
"
کراچی کے علاقے سعودآباد پولیس اور ڈاکوؤں کے درمیان مقابلے کے دوران 4 ڈاکو ہلاک ہو گئے۔ پولیس کے مطابق واقعے میں ایک پولیس اہلکار اور دو شہری زخمی بھی ہوئے جنہیں طبی امداد کے لیے اسپتال منتقل کر دیا گیا ہے۔ پولیس حکام کا بتانا ہے کہ ڈاکوؤں سے مقابلے میں زخمی اہلکار کی شناخت حنیف کے نام سے ہوئی ہے۔ پولیس کے مطابق ہلاک ملزمان دن کے اوقات میں شہریوں سے لوٹ مار کرتے تھے، ملزمان کے قبضے سے اسلحہ، موبائل فونز اور 2 موٹر سائیکلیں برآمد ہوئی ہیں۔ پولیس حکام کا بتانا ہے کہ مقابلے کے دوران ہلاک ڈاکوؤں کی لاشیں بھی اسپتال منتقل کر دی گئی ہیں۔,"کراچی میں  پولیس سے ایک مقابلے میں 4 ڈاکو مارے گئے۔ حنیف نامی پولیس اہلکار اور دو شہری زخمی ہوئے جنہیں ہسپتال لے جایا گیا۔ ہلاک ہونے والے ڈاکو کے قبضے سے اسلحہ، موبائل فون اور دو موٹر سائیکلیں تھیں۔ ان کی لاشیں بھی اسپتال لے جائی گئیں۔
"
لاہور کے علاقے چوہنگ کے گاؤں خان پور میں 5 افراد کے قتل کے واقعے پر نگران وزیر اعلیٰ محسن نقوی اور آئی جی ڈاکٹر عثمان انور نے  نوٹس لیتے ہوئے ملزمان کی جلد گرفتاری کا حکم دیدیا ہے۔ لواحقین کا کہنا تھا کہ مقتولین شام کے وقت ڈیرے پر بیٹھے گپ شپ کر رہے تھے، گاڑیوں اور موٹرسائیکلوں پر آئے حملہ آوروں نے اتنی شدید فائرنگ کی کہ تین بھائی شہزاد اعوان، مرتضیٰ، مصطفیٰ، کزن ملک خادم اور ملازم فہد خان موقع پر ہی دم توڑ گئے، فائرنگ کی زد میں آ کر 5 سالہ بچہ بھی زخمی ہو گیا۔,"لاہور میں اراضی کے تنازع پر حملہ آوروں نے ڈیرے میں گھس کر 5 افراد کو قتل کر دیا جبکہ ایک 12 سالہ بچہ زخمی ہو گیا۔ وزیراعلیٰ اور آئی جی نے ملزم کی گرفتاری کا حکم دیا ہے۔  
"
لاہور میں  اراضی کے تنازعے پر مخالفین نے ڈیرے میں گھس کر تین سگے بھائیوں سمیت 5 افراد کو فائرنگ کرکے قتل کر دیا جبکہ 12 سالہ بچہ زخمی ہو گیا۔ ایس ایس پی انویسٹی گیشن انوش مسعود چوہدری نے جائے وقوعہ کا دورہ کیا، اُن کا کہنا تھا کہ زرعی اراضی کے تنازعے پر جھگڑا شروع ہوا جو بعد ازاں خاندانی دشمنی میں بدل گیا، ملزمان اور مقتولین آپس میں رشتہ دار ہیں، سی سی ٹی وی سے ملزمان کا سراغ لگا لیا ہے اور ملزمان کی گرفتاری کیلئے 4 ٹیمیں تشکیل دے دی ہیں۔ ان کا کہنا تھا کہ پولیس نے شواہد اکٹھے کر کے پانچوں مقتولین کی لاشیں پوسٹ مارٹم کے لیے مردہ خانے منتقل کر دیں ہیں۔,"لاہور میں  اراضی  کے تنازعہ میں حملہ آور نے 5 افراد قتل کر دیے جبکہ ایک 12 سالہ بچہ زخمی ہو گیا۔ ایس ایس پی  کے مطابق تنازعہ زمین  سے شروع ہوا۔  سی سی ٹی وی فوٹیج کی مدد سے مشتبہ افراد کی گرفتاری ممکن ہے۔  لاشوں کو پوسٹ مارٹم کے لیے منتقل کر دیا ہے۔
"
 پولیس کے مطابق کراچی میں تھانہ گزری کی حدود میں واقع ڈیفنس کے ایک گھر سے ڈانس پارٹی کی ویڈیو سوشل میڈیا پر وائرل ہوئی تھی۔ پولیس نے بتایا کہ ڈی آئی جی ساؤتھ اسد رضا نے ایس پی کلفٹن کو وائرل ہونے والی ویڈیو کی انکوائری کے احکامات جاری کر دیے۔ پولیس کی جانب سے مزید بتایا گیا ہے کہ واقعے کا مقدمہ 14 اکتوبر کو تھانہ گزری میں درج ہوا تھا۔,"ڈی آئی جی ساؤتھ  نے  ڈیفنس کراچی میں وائرل ہونے والی ڈانس پارٹی کی ویڈیو کا نوٹس لیتے ہوے ایس پی کلفٹن کو ہدایت کی کہ وہ اس ویڈیو کی تحقیقات کریں۔ واقعہ کی اطلاع 14 اکتوبر کو تھانہ گزری میں پولیس کو دی گئی۔
"
گوجرانوالہ میں پولیس کے مطابق گاؤں ڈیرہ وڑائچاں سے تین روز قبل لاپتا ہونے والے بچے کی لاش مل گئی ہے، بچے کو زیادتی کے بعد سر پر اینٹیں مار کر قتل کیا گیا۔ پولیس کے مطابق بچے کے والدین نے اغوا کا مقدمہ درج کرایا تھا، بچے کی لاش جھاڑیوں سے ملی جسے پوسٹ مارٹم کیلئے اسپتال منتقل کردیا گیا۔ پولیس کا کہنا ہے کہ زیادتی اور قتل کاملزم گرفتار کر لیا گیا ہے، ملزم بچے کا محلے دار ہے۔ ملزم نے زیادتی کا والدین کو بتانے پر بچے کو قتل کرکے اس کی لاش جھاڑیوں میں پھینک دی تھی۔,"گوجرانوالہ میں تین روز سے لاپتہ 5 سالہ بچے کو زیادتی کے بعد قتل کر دیا گیا۔  پولیس کو بچی کی لاش ڈیرہ وڑائچن گاؤں سے ملی۔ ایک پڑوسی  کو اس جرم میں گرفتار کیا گیا ہے، جس نے زیادتی اور قتل کا اعتراف کیا۔
"
لاڑکانہ کے قریب نواحی علاقے موئن جو داڑو کے قریب گوٹھ مندرا میں گلاب جونیجو نے اپنے ایک رشتے دار سے 50 روپے ادھار لیے تھے۔ تاہم ادھار کی رقم واپس نہ کرنے پر 3 ملزمان عمران ، محمد علی اور زوہیب جونیجو نے تلخ کلامی کے بعد ڈنڈوں اور چھریوں سے گلاب جونیجو پر حملہ کر دیا جس سے وہ موقع پر ہی جاں بحق ہوگیا۔ واقعہ کے بعد تینوں ملزمان فرار ہوگئے ۔ پولیس نے ورثا کی درخواست پر قتل کا مقدمہ درج کرکے ملزمان کی گرفتاری کے لیے چھاپے مارنا شروع کردیے ہیں۔,"لاڑکانہ کے نواحی علاقے میں 50 روپے کے قرض کی عدم ادائیگی پر رشتہ داروں نے ایک شخص کو قتل کردیا۔ متاثرہ نے ایک رشتہ دار سے ادھار لے کر واپس نہ کیا تو  3  ملزمان  نے اس پر حملہ کر کے قتل کر دیا۔ پولیس نے  ملزمان کی تلاش شروع کردی ہے۔
"
